Symbol,Date,Open,High,Low,Close,Adj Close,Volume
OSTK,8/11/2017,19.4,20.25,18.75,19.5,19.5,943200
OSTK,8/14/2017,19.75,19.75,18.950001,19.1,19.1,396500
OSTK,8/15/2017,19.15,19.200001,18.6,19,19,365000
OSTK,8/16/2017,19.049999,19.049999,18.4,18.5,18.5,221800
OSTK,8/17/2017,18.5,19.15,18.35,19.1,19.1,309100
OSTK,8/18/2017,18.950001,19.6,18.75,19.549999,19.549999,338600
OSTK,8/21/2017,19.6,19.700001,18.9,19.450001,19.450001,353700
OSTK,8/22/2017,19.549999,19.700001,19.200001,19.299999,19.299999,181400
OSTK,8/23/2017,19.35,19.5,19.049999,19.450001,19.450001,112000
OSTK,8/24/2017,19.6,19.799999,19.25,19.6,19.6,135000
OSTK,8/25/2017,19.6,20.9,19.370001,20.5,20.5,475200
OSTK,8/28/2017,20.5,21.1,20.049999,21,21,213600
OSTK,8/29/2017,20.9,21.700001,20.9,21.4,21.4,436000
OSTK,8/30/2017,21.450001,21.9,21,21.85,21.85,310600
OSTK,8/31/2017,21.9,22.25,21.549999,21.950001,21.950001,300000
OSTK,9/1/2017,22.1,24.700001,22.1,24.6,24.6,1504300
OSTK,9/5/2017,23.65,24.950001,23.299999,23.799999,23.799999,804100
OSTK,9/6/2017,24.049999,24.85,23.75,24.25,24.25,473300
OSTK,9/7/2017,23.950001,24.75,23.6,24.25,24.25,561400
OSTK,9/8/2017,24.049999,24.450001,23.65,23.85,23.85,322300
OSTK,9/11/2017,23.950001,24.4,23.700001,24.35,24.35,214800
OSTK,9/12/2017,24.4,24.4,23.85,24.200001,24.200001,317000
OSTK,9/13/2017,24.299999,25.5,24,25.1,25.1,716600
OSTK,9/14/2017,25,25.1,24.370001,24.65,24.65,273900
OSTK,9/15/2017,24.75,24.85,24.200001,24.75,24.75,376900
OSTK,9/18/2017,24.9,25.030001,24.35,24.65,24.65,305300
OSTK,9/19/2017,24.799999,24.85,24.299999,24.549999,24.549999,294400
OSTK,9/20/2017,24.6,24.629999,24.200001,24.4,24.4,216500
OSTK,9/21/2017,24.549999,24.6,24.1,24.299999,24.299999,141900
OSTK,9/22/2017,24.4,24.709999,23.6,24.200001,24.200001,545000
OSTK,9/25/2017,24.299999,24.5,23.15,23.65,23.65,419000
OSTK,9/26/2017,23.75,24.1,23.1,23.450001,23.450001,325800
OSTK,9/27/2017,25.1,29.379999,24.700001,28.950001,28.950001,2842500
OSTK,9/28/2017,29.85,29.950001,27.450001,29.1,29.1,2011400
OSTK,9/29/2017,29.200001,32.25,28.450001,29.700001,29.700001,2280200
OSTK,10/2/2017,30.1,30.799999,28.5,30.35,30.35,1167400
OSTK,10/3/2017,30.35,31.200001,29.6,30.950001,30.950001,854900
OSTK,10/4/2017,30.9,31.4,29.299999,29.549999,29.549999,798200
OSTK,10/5/2017,29.799999,30.15,28.1,28.65,28.65,713300
OSTK,10/6/2017,28.700001,30.4,28.15,30,30,796800
OSTK,10/9/2017,30.700001,30.85,29.85,30.65,30.65,685100
OSTK,10/10/2017,31,33.299999,27.58,28.1,28.1,5122400
OSTK,10/11/2017,28.85,29.799999,28.1,28.799999,28.799999,820100
OSTK,10/12/2017,28.85,30.200001,28.549999,30,30,1227500
OSTK,10/13/2017,30.25,30.950001,28.950001,29.200001,29.200001,1009000
OSTK,10/16/2017,29.950001,30.450001,29.35,30.299999,30.299999,1154600
OSTK,10/17/2017,30.799999,35.599998,30.700001,33.799999,33.799999,3671300
OSTK,10/18/2017,34.450001,34.950001,32.200001,33.799999,33.799999,1980600
OSTK,10/19/2017,34.599998,35.049999,32.799999,34.900002,34.900002,1485700
OSTK,10/20/2017,35,38.189999,35,38,38,3291100
OSTK,10/23/2017,37.650002,37.950001,34.599998,35.150002,35.150002,2877300
OSTK,10/24/2017,35.950001,39.450001,34.950001,38.599998,38.599998,3162500
OSTK,10/25/2017,41.75,43.150002,37.599998,41.349998,41.349998,5455500
OSTK,10/26/2017,40.900002,46.349998,40.549999,46.049999,46.049999,4443600
OSTK,10/27/2017,46.650002,46.900002,41.549999,42.900002,42.900002,4619400
OSTK,10/30/2017,44.5,46.349998,43.400002,43.950001,43.950001,3445800
OSTK,10/31/2017,45.450001,46.450001,43.5,45.900002,45.900002,3200900
OSTK,11/1/2017,46.799999,48.25,44.450001,46.150002,46.150002,3131300
OSTK,11/2/2017,46.549999,48,43.099998,43.700001,43.700001,3218000
